pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick,gasUsed,gasPrice
mypool,15837648,0xb76898cee2baa3001df2c9b9ab7db8c79dcd0a10fe359406f547fac319a442cb,1666852439,134,0xb76898cee2baa3001df2c9b9ab7db8c79dcd0a10fe359406f547fac319a442cb,0x8ef80b44a83b410ec352a4e878eb06112ab93a0b,recipient,8.0,-0.005115790092532983,2003006460266103142268144162107613,0,1564.5680866048713,202766,209248,10513168189
mypool,15837649,0x1258c8cc0d4b4d5d9a5658ce30727d192285285d9b8c712c5695b070f0852f76,1666852451,204,0x1258c8cc0d4b4d5d9a5658ce30727d192285285d9b8c712c5695b070f0852f76,0x218b689f3ee0c110fcf5f5b513a16cadf7a7a343,recipient,-2000.0,1.2776655401998802,2003001179254406000838098318428109,0,1564.5763367380657,202766,343369,10477223825
mypool,15837650,0x2d0d6b7a718622925aa20229c69e52145958197f416e9e2dd28fe314fdf56bf3,1666852463,43,0x2d0d6b7a718622925aa20229c69e52145958197f416e9e2dd28fe314fdf56bf3,0x1a54220656fa426a20331141324260398a549314,recipient,60285.075771,-38.5535867625,2003160454225269153182007781491205,0,1564.3275419469821,202768,251176,8817510261
mypool,15837654,0x580c40674feb5c6bab9ac04b3ccc18d8165a909ab226bdaef146db6f0b341730,1666852511,96,0x580c40674feb5c6bab9ac04b3ccc18d8165a909ab226bdaef146db6f0b341730,0x27c3d8e6d0505b28ca55bbb12f3a382c257d941d,recipient,7231.323963,-4.625,2003180175579397787599859880773332,0,1564.296740418551,202768,195576,11590107446
mypool,15837654,0x6b74e1e9124bfa2e425970678b1c9f32dc434590013d8724f8068289322d4e3c,1666852511,51,0x6b74e1e9124bfa2e425970678b1c9f32dc434590013d8724f8068289322d4e3c,0x60374e7ecfc6563bd10eb2c0d6269cf2f12e9390,recipient,232.479582,-0.1486875,2003161068492298991505107981077376,0,1564.3265825486585,202768,320040,10921111076
mypool,15837655,0x3a63da5a2a88d0fb5f12656f18c63ec723d1ec785e6a5ccf8b640bd0fa4034eb,1666852523,92,0x3a63da5a2a88d0fb5f12656f18c63ec723d1ec785e6a5ccf8b640bd0fa4034eb,0xfd700870c05eea211401eaed0d9efb96f7ff3fea,recipient,10000.0,-6.395931293162934,2003206598847786194025264902604901,0,1564.255473022539,202768,188738,11747468162
mypool,15837657,0xc46e4f5ce0b2c3d36c49dd3c1702a42444205f274999a30296089b638502cb7b,1666852547,376,0xc46e4f5ce0b2c3d36c49dd3c1702a42444205f274999a30296089b638502cb7b,0xedc2fdcc98b72e6e0406e795e485f1665ec8cfc6,recipient,-150.0,0.09584444229534222,2003207692944446457972255089243995,0,1564.2537643168193,202768,335328,11555259197
mypool,15837657,0xfcb501cbc499ca56da8e8a531045e7215f2358753aeee3c027a4f14b2e454e90,1666852547,326,0xfcb501cbc499ca56da8e8a531045e7215f2358753aeee3c027a4f14b2e454e90,0x0124d0fa0dfb1430dfcff16ec6a96945e7a0bc10,recipient,563.984916,-0.3607259043235934,2003208089101034346000619852314629,0,1564.2531456198642,202768,3000000,11555259197
mypool,15837658,0x277c39cd804c49d17fdb8d3153f1430132f11d332071e2b7f309100309d31b56,1666852559,59,0x277c39cd804c49d17fdb8d3153f1430132f11d332071e2b7f309100309d31b56,0xd5cf0cb9a8df9b46f077f561d8b76c34a69bd82f,recipient,1830.559496,-1.1708328268255077,2003212529961700573565428327144074,0,1564.24621013752,202768,500000,17882507566
mypool,15837659,0x4e53a82ecb1bc233d46baaf80debf4779358e78014ef3b914a474a4a428568ff,1666852571,12,0x4e53a82ecb1bc233d46baaf80debf4779358e78014ef3b914a474a4a428568ff,0x34ec9e3a1ac200ea58744ced891015152130e400,recipient,113309.259303,-72.48381290477593,2003501108867479776783972900439435,0,1563.7956229650315,202771,301893,10985211114
mypool,15837661,0xc70f2b351131e873e30ce0e68a24be29841935daabbe45bec2f1d8fb9d35207d,1666852595,208,0xc70f2b351131e873e30ce0e68a24be29841935daabbe45bec2f1d8fb9d35207d,0xa483254773cfe94d502557099945caf90725473f,recipient,42911.576041,-27.455839763999997,2003607482643835300427181642986439,0,1563.629580033436,202772,278170,10983165045
mypool,15837662,0x2c59392867763518a63ae2710c52fec1d4545da5a27444b75f98934a2d68d3f6,1666852607,165,0x2c59392867763518a63ae2710c52fec1d4545da5a27444b75f98934a2d68d3f6,0xdaa822a52ac3a392e0619ce3c849f67d6a9482da,recipient,-30.001635,0.01917758097591909,2003607408305835318489980883567526,0,1563.6296960612542,202772,1000000,11370188910
mypool,15837663,0x0334cb3243f7fcdd6d9c4a326b42c607ad15d9fb43407ef18314b4f1db39f379,1666852619,2,0x0334cb3243f7fcdd6d9c4a326b42c607ad15d9fb43407ef18314b4f1db39f379,0xf42508a3f1f3f097e7cfe5080feba1a8fd97d192,recipient,593699.484463,-380.14670192374155,2004916303430368680355651711172757,0,1561.588753784182,202785,203182,856312806649
mypool,15837664,0x390677245456c786dde6e3ac74562d544ed6a5f2ff0965b2c39e0f09e95bc331,1666852631,110,0x390677245456c786dde6e3ac74562d544ed6a5f2ff0965b2c39e0f09e95bc331,0xba35963363188db088e96684aa91c1ca5cdf5c5f,recipient,372.159733,-0.23844052366745436,2004917022917814262533299178684672,0,1561.58763299635,202785,900000,13164596636
